Device address	Device ID	Factory Device ID	Firmware	Measurement mode	Gain	Speed	Y_AH_Cal (-)	TF_Cal (V/W)	Temp_Cal (°C)																																				
FF47	D3	12J691	 C3.8	H2   	1.000	Norm 	 0.995544	20.464394	29.717340																																				
Iteration	Time	Output (%)	Transfer (V/W)	Tsens (°C)	RH (%)	AH (kPa)	Corr transfer (-)	Utp (mV)	Ih (mA)	Uh (mV)	Ph (mW)	Usyst (V)	Alarm																																
0	13:49:29.85	0.0325	20.49880	25.98	39.27	1.3	0.999378	19.9205	1.24932	777.86	0.97179	3.28	0
1	13:49:30.56	0.0330	20.49873	25.97	39.27	1.3	0.999372	19.9200	1.24928	777.86	0.97177	3.28	0
2	13:49:30.64	0.0335	20.49859	25.97	39.27	1.3	0.999366	19.9202	1.24932	777.86	0.97178	3.28	0
3	13:49:30.89	0.0330	20.49873	25.97	39.27	1.3	0.999372	19.9205	1.24932	777.86	0.97180	3.28	0
4	13:49:31.19	0.0335	20.49859	25.97	39.27	1.3	0.999366	19.9212	1.24936	777.88	0.97184	3.28	0
5	13:49:31.49	0.0330	20.49873	25.97	39.27	1.3	0.999372	19.9212	1.24932	777.88	0.97182	3.28	0
6	13:49:31.79	0.0320	20.49901	25.97	39.27	1.3	0.999384	19.9208	1.24932	777.86	0.97180	3.28	0
7	13:49:32.09	0.0335	20.49852	25.97	39.27	1.3	0.999360	19.9202	1.24932	777.86	0.97178	3.28	0
8	13:49:32.39	0.0340	20.49838	25.97	39.27	1.3	0.999354	19.9212	1.24932	777.88	0.97184	3.28	0
9	13:49:32.69	0.0330	20.49873	25.97	39.27	1.3	0.999372	19.9211	1.24932	777.88	0.97182	3.28	0
10	13:49:32.99	0.0335	20.49852	25.97	39.27	1.3	0.999360	19.9208	1.24932	777.86	0.97181	3.28	0
11	13:49:33.29	0.0335	20.49838	25.98	39.27	1.3	0.999360	19.9211	1.24932	777.88	0.97184	3.28	0
12	13:49:33.59	0.0330	20.49866	25.98	39.27	1.3	0.999372	19.9214	1.24932	777.88	0.97184	3.28	0
13	13:49:33.89	0.0335	20.49845	25.98	39.27	1.3	0.999360	19.9212	1.24932	777.88	0.97184	3.28	0
14	13:49:34.19	0.0325	20.49887	25.98	39.27	1.3	0.999384	19.9204	1.24928	777.86	0.97178	3.28	0
15	13:49:34.49	0.0330	20.49859	25.98	39.27	1.3	0.999366	19.9211	1.24932	777.88	0.97183	3.28	0
16	13:49:34.79	0.0310	20.49950	25.98	39.27	1.3	0.999414	19.9207	1.24928	777.86	0.97177	3.28	0
17	13:49:35.09	0.3395	20.37784	25.98	39.27	1.3	0.993480	19.8008	1.24928	777.78	0.97169	3.28	0
18	13:49:35.39	1.9870	19.70073	25.98	39.27	1.3	0.960468	19.1350	1.24932	777.44	0.97128	3.28	0
19	13:49:35.69	5.1040	18.52879	25.97	39.27	1.3	0.903330	17.9833	1.24932	776.88	0.97056	3.28	0
20	13:49:35.99	8.7950	17.28370	25.97	39.27	1.3	0.842628	16.7619	1.24932	776.26	0.96981	3.28	0
21	13:49:36.29	12.3660	16.15978	25.98	39.27	1.3	0.787836	15.6606	1.24932	775.70	0.96911	3.28	0
22	13:49:36.59	15.7830	15.19280	25.98	39.17	1.3	0.740688	14.7146	1.24936	775.22	0.96853	3.28	0
23	13:49:36.89	18.9325	14.37478	25.97	39.17	1.3	0.700806	13.9149	1.24936	774.80	0.96801	3.28	0
24	13:49:37.19	21.8010	13.67569	25.97	38.93	1.3	0.666714	13.2323	1.24936	774.46	0.96757	3.28	0
25	13:49:37.49	24.4330	13.07516	25.97	38.93	1.3	0.637434	12.6456	1.24936	774.12	0.96715	3.28	0
26	13:49:37.79	26.8190	12.56073	25.97	38.53	1.3	0.612336	12.1437	1.24936	773.84	0.96680	3.28	0
27	13:49:38.09	28.9535	12.12036	25.97	38.53	1.3	0.590868	11.7139	1.24936	773.58	0.96647	3.28	0
28	13:49:38.39	30.8815	11.73900	25.97	38.10	1.3	0.572262	11.3427	1.24936	773.38	0.96624	3.28	0
29	13:49:38.69	32.6055	11.40979	25.97	38.10	1.3	0.556212	11.0221	1.24936	773.22	0.96602	3.28	0
30	13:49:38.99	34.1525	11.12377	25.97	37.59	1.3	0.542250	10.7431	1.24936	773.02	0.96578	3.28	0
31	13:49:39.29	35.5460	10.87401	25.97	37.59	1.3	0.530070	10.5001	1.24936	772.88	0.96562	3.28	0
32	13:49:39.59	36.8095	10.65414	25.97	37.06	1.2	0.519330	10.2861	1.24936	772.76	0.96546	3.28	0
33	13:49:39.89	37.9375	10.46045	25.97	37.06	1.2	0.509892	10.0980	1.24936	772.66	0.96535	3.28	0
34	13:49:40.19	38.9625	10.29021	25.97	36.63	1.2	0.501576	9.9323	1.24940	772.56	0.96522	3.28	0
35	13:49:40.49	39.8670	10.13985	25.97	36.63	1.2	0.494250	9.7860	1.24940	772.46	0.96511	3.28	0
36	13:49:40.79	40.6975	10.00650	25.97	36.23	1.2	0.487734	9.6564	1.24940	772.38	0.96502	3.28	0
37	13:49:41.09	41.4380	9.88799	25.97	36.23	1.2	0.481956	9.5415	1.24944	772.32	0.96495	3.28	0
38	13:49:41.39	42.0920	9.78418	25.97	35.86	1.2	0.476886	9.4400	1.24936	772.24	0.96482	3.28	0
39	13:49:41.69	42.6915	9.69164	25.97	35.86	1.2	0.472374	9.3507	1.24940	772.22	0.96482	3.28	0
40	13:49:41.99	43.2155	9.61107	25.97	35.53	1.2	0.468432	9.2719	1.24940	772.14	0.96472	3.28	0
41	13:49:42.29	43.6660	9.54156	25.97	35.53	1.2	0.465048	9.2040	1.24940	772.08	0.96463	3.28	0
42	13:49:42.59	44.0685	9.48003	25.97	35.23	1.2	0.462036	9.1447	1.24940	772.06	0.96463	3.28	0
43	13:49:42.89	44.4155	9.42816	25.97	35.23	1.2	0.459510	9.0941	1.24940	772.04	0.96457	3.28	0
44	13:49:43.19	44.7080	9.38476	25.97	34.96	1.2	0.457386	9.0518	1.24936	772.00	0.96452	3.28	0
45	13:49:43.49	44.9390	9.35025	25.97	34.96	1.2	0.455700	9.0182	1.24936	771.98	0.96449	3.28	0
46	13:49:43.79	45.1285	9.32204	25.97	34.79	1.2	0.454320	8.9907	1.24936	771.96	0.96445	3.28	0
47	13:49:44.09	45.2930	9.29747	25.97	34.79	1.2	0.453126	8.9672	1.24940	771.94	0.96447	3.28	0
48	13:49:44.39	45.4395	9.27577	25.97	34.60	1.2	0.452058	8.9459	1.24940	771.94	0.96444	3.28	0
49	13:49:44.69	45.5665	9.25673	25.97	34.60	1.2	0.451134	8.9273	1.24936	771.92	0.96442	3.28	0
50	13:49:44.99	45.6775	9.24028	25.97	34.43	1.2	0.450324	8.9114	1.24936	771.92	0.96440	3.28	0
51	13:49:45.29	45.7710	9.22635	25.97	34.43	1.2	0.449646	8.8978	1.24936	771.90	0.96439	3.28	0
52	13:49:45.59	45.8550	9.21389	25.97	34.33	1.1	0.449034	8.8858	1.24940	771.88	0.96439	3.28	0
53	13:49:45.89	45.9220	9.20388	25.97	34.33	1.1	0.448548	8.8761	1.24940	771.88	0.96439	3.28	0
54	13:49:46.19	45.9775	9.19569	25.97	34.19	1.1	0.448140	8.8682	1.24940	771.88	0.96439	3.28	0
55	13:49:46.49	46.0245	9.18883	25.97	34.19	1.1	0.447810	8.8612	1.24936	771.86	0.96434	3.28	0
56	13:49:46.79	46.0670	9.18267	25.97	34.12	1.1	0.447510	8.8556	1.24940	771.88	0.96437	3.28	0
57	13:49:47.09	46.1085	9.17672	25.97	34.12	1.1	0.447216	8.8493	1.24936	771.86	0.96432	3.28	0
58	13:49:47.39	46.1850	9.16580	25.97	34.06	1.1	0.446682	8.8384	1.24936	771.84	0.96429	3.28	0
59	13:49:47.69	46.6940	9.09244	25.97	34.06	1.1	0.443106	8.7677	1.24940	771.80	0.96429	3.28	0
60	13:49:47.99	47.4530	8.98310	25.97	33.99	1.1	0.437778	8.6617	1.24940	771.74	0.96421	3.28	0
61	13:49:48.29	48.2610	8.86788	25.97	33.99	1.1	0.432162	8.5498	1.24940	771.68	0.96413	3.28	0
62	13:49:48.59	48.9925	8.76589	25.97	33.89	1.1	0.427188	8.4505	1.24936	771.60	0.96401	3.28	0
63	13:49:48.89	49.5125	8.69337	25.96	33.89	1.1	0.423654	8.3805	1.24940	771.56	0.96400	3.28	0
64	13:49:49.19	49.8760	8.64269	25.96	33.70	1.1	0.421176	8.3308	1.24936	771.52	0.96391	3.28	0
65	13:49:49.49	50.0870	8.61392	25.97	33.70	1.1	0.419778	8.3034	1.24940	771.52	0.96394	3.28	0
66	13:49:49.79	50.1300	8.60860	25.97	33.26	1.1	0.419502	8.2981	1.24940	771.52	0.96393	3.28	0
67	13:49:50.09	49.9960	8.62624	25.97	33.26	1.1	0.420360	8.3151	1.24940	771.52	0.96393	3.28	0
68	13:49:50.39	49.8565	8.64626	25.97	32.55	1.1	0.421314	8.3350	1.24940	771.56	0.96400	3.28	0
69	13:49:50.69	49.7295	8.66390	25.97	32.55	1.1	0.422178	8.3516	1.24936	771.54	0.96395	3.28	0
70	13:49:50.99	49.5430	8.69043	25.97	31.83	1.1	0.423444	8.3775	1.24940	771.56	0.96398	3.28	0
71	13:49:51.29	49.4160	8.70814	25.97	31.83	1.1	0.424308	8.3947	1.24940	771.58	0.96400	3.28	0
72	13:49:51.59	49.4380	8.70562	25.97	31.03	1.0	0.424158	8.3922	1.24940	771.58	0.96399	3.28	0
73	13:49:51.89	49.3690	8.71528	25.97	31.03	1.0	0.424626	8.4014	1.24936	771.58	0.96398	3.28	0
74	13:49:52.19	49.3960	8.71199	25.97	30.28	1.0	0.424446	8.3983	1.24940	771.58	0.96399	3.28	0
75	13:49:52.49	49.2765	8.72872	25.97	30.28	1.0	0.425256	8.4148	1.24940	771.60	0.96404	3.28	0
76	13:49:52.79	49.0710	8.75777	25.97	29.61	1.0	0.426654	8.4429	1.24940	771.60	0.96404	3.28	0
77	13:49:53.09	48.8595	8.78731	25.97	29.61	1.0	0.428094	8.4718	1.24940	771.64	0.96410	3.28	0
78	13:49:53.39	48.5395	8.83246	25.97	29.05	1.0	0.430272	8.5156	1.24940	771.66	0.96412	3.28	0
79	13:49:53.69	48.3130	8.86403	25.97	29.05	1.0	0.431808	8.5462	1.24940	771.70	0.96415	3.28	0
80	13:49:53.99	47.9585	8.91408	25.97	28.57	1.0	0.434232	8.5947	1.24940	771.72	0.96417	3.28	0
81	13:49:54.29	47.4220	8.99143	25.97	28.57	1.0	0.438000	8.6695	1.24936	771.74	0.96420	3.28	0
82	13:49:54.59	46.8505	9.07403	25.97	28.17	0.9	0.442008	8.7501	1.24936	771.82	0.96430	3.28	0
83	13:49:54.89	46.2920	9.15446	25.97	28.17	0.9	0.445926	8.8281	1.24936	771.86	0.96435	3.28	0
84	13:49:55.19	46.3440	9.14725	25.97	27.85	0.9	0.445566	8.8207	1.24936	771.84	0.96431	3.28	0
85	13:49:55.49	46.4750	9.12835	25.97	27.85	0.9	0.444642	8.8024	1.24936	771.82	0.96428	3.28	0
86	13:49:55.79	46.6430	9.10434	25.97	27.62	0.9	0.443466	8.7791	1.24936	771.82	0.96428	3.28	0
87	13:49:56.09	46.4025	9.13899	25.96	27.62	0.9	0.445152	8.8134	1.24940	771.86	0.96437	3.28	0
88	13:49:56.39	45.8800	9.21508	25.96	27.38	0.9	0.448854	8.8871	1.24940	771.90	0.96440	3.28	0
89	13:49:56.69	45.1630	9.32218	25.97	27.38	0.9	0.454068	8.9912	1.24940	771.98	0.96449	3.28	0
90	13:49:56.99	44.5495	9.41402	25.97	27.22	0.9	0.458538	9.0803	1.24936	772.02	0.96455	3.28	0
91	13:49:57.29	43.7600	9.53316	25.97	27.22	0.9	0.464340	9.1960	1.24936	772.10	0.96464	3.28	0
92	13:49:57.59	42.4845	9.73014	25.97	27.10	0.9	0.473934	9.3875	1.24936	772.22	0.96478	3.28	0
93	13:49:57.89	40.5715	10.03366	25.97	27.10	0.9	0.488712	9.6825	1.24936	772.40	0.96500	3.28	0
94	13:49:58.19	39.1085	10.27348	25.97	27.02	0.9	0.500394	9.9161	1.24936	772.56	0.96521	3.28	0
95	13:49:58.49	38.2350	10.41880	25.97	27.02	0.9	0.507468	10.0567	1.24932	772.60	0.96524	3.28	0
96	13:49:58.79	37.9360	10.46885	25.97	27.02	0.9	0.509904	10.1060	1.24936	772.66	0.96534	3.28	0
97	13:49:59.09	37.3890	10.56279	25.97	27.02	0.9	0.514482	10.1972	1.24936	772.72	0.96539	3.28	0
98	13:49:59.39	36.3780	10.73632	25.97	27.18	0.9	0.522942	10.3667	1.24940	772.84	0.96557	3.28	0
99	13:49:59.69	35.0340	10.97453	25.97	27.18	0.9	0.534546	10.5990	1.24940	773.00	0.96578	3.28	0
100	13:49:59.99	33.5575	11.24221	25.97	27.38	0.9	0.547590	10.8593	1.24940	773.14	0.96594	3.28	0
101	13:50:00.29	33.0685	11.33300	25.97	27.38	0.9	0.552012	10.9472	1.24936	773.16	0.96596	3.28	0
102	13:50:00.59	33.5075	11.25117	25.97	27.62	0.9	0.548040	10.8676	1.24936	773.12	0.96591	3.28	0
103	13:50:00.89	34.2250	11.11936	25.97	27.62	0.9	0.541614	10.7394	1.24940	773.04	0.96583	3.28	0
104	13:50:01.19	33.8820	11.18138	25.97	27.85	0.9	0.544650	10.7999	1.24936	773.08	0.96588	3.28	0
105	13:50:01.49	32.5060	11.43716	25.97	27.85	0.9	0.557106	11.0492	1.24936	773.24	0.96608	3.28	0
106	13:50:01.79	31.2330	11.67978	25.97	28.13	0.9	0.568938	11.2855	1.24936	773.38	0.96625	3.28	0
107	13:50:02.09	30.2935	11.86199	25.98	28.13	0.9	0.577812	11.4633	1.24936	773.50	0.96638	3.28	0
108	13:50:02.39	29.8850	11.94179	25.98	28.42	1.0	0.581718	11.5410	1.24940	773.52	0.96644	3.28	0
109	13:50:02.69	29.4035	12.03895	25.97	28.42	1.0	0.586446	11.6357	1.24936	773.60	0.96650	3.28	0
110	13:50:02.99	28.5995	12.20093	25.97	28.65	1.0	0.594348	11.7940	1.24940	773.70	0.96665	3.28	0
111	13:50:03.29	27.9890	12.32406	25.97	28.65	1.0	0.600348	11.9136	1.24936	773.74	0.96670	3.28	0
112	13:50:03.59	27.8435	12.35430	25.97	29.01	1.0	0.601836	11.9430	1.24936	773.76	0.96671	3.28	0
113	13:50:03.89	27.7840	12.36690	25.97	29.01	1.0	0.602448	11.9558	1.24940	773.78	0.96676	3.28	0
114	13:50:04.19	27.5660	12.41240	25.97	29.32	1.0	0.604680	12.0002	1.24940	773.80	0.96680	3.28	0
115	13:50:04.49	27.6370	12.39749	25.97	29.32	1.0	0.603954	11.9855	1.24940	773.78	0.96677	3.28	0
116	13:50:04.79	27.8985	12.34226	25.97	29.57	1.0	0.601272	11.9318	1.24940	773.76	0.96674	3.28	0
117	13:50:05.09	27.8610	12.35010	25.97	29.57	1.0	0.601656	11.9391	1.24936	773.76	0.96672	3.28	0
118	13:50:05.39	28.2390	12.27233	25.97	29.88	1.0	0.597882	11.8638	1.24940	773.74	0.96671	3.28	0
119	13:50:05.69	28.1560	12.28913	25.97	29.88	1.0	0.598698	11.8798	1.24940	773.74	0.96670	3.28	0
120	13:50:05.99	27.4225	12.44187	25.97	30.13	1.0	0.606156	12.0289	1.24936	773.82	0.96680	3.28	0
121	13:50:06.29	26.8165	12.56941	25.97	30.13	1.0	0.612366	12.1533	1.24940	773.90	0.96689	3.28	0
122	13:50:06.59	26.5885	12.61729	25.97	30.28	1.0	0.614706	12.1992	1.24936	773.90	0.96686	3.28	0
123	13:50:06.89	26.5675	12.62163	25.97	30.28	1.0	0.614922	12.2046	1.24940	773.94	0.96696	3.28	0
124	13:50:07.19	26.3105	12.67553	25.97	30.44	1.0	0.617550	12.2566	1.24936	773.96	0.96695	3.28	0
125	13:50:07.49	25.7985	12.78501	25.97	30.44	1.0	0.622884	12.3632	1.24936	774.00	0.96701	3.28	0
126	13:50:07.79	25.3780	12.87671	25.97	30.68	1.0	0.627366	12.4526	1.24936	774.06	0.96706	3.28	0
127	13:50:08.09	25.1885	12.91822	25.97	30.68	1.0	0.629388	12.4934	1.24936	774.08	0.96712	3.28	0
128	13:50:08.39	25.3520	12.88231	25.97	30.80	1.0	0.627642	12.4578	1.24936	774.04	0.96704	3.28	0
129	13:50:08.69	25.6610	12.81469	25.97	30.80	1.0	0.624348	12.3922	1.24940	774.02	0.96704	3.28	0
130	13:50:08.99	25.9510	12.75106	25.97	31.03	1.0	0.621264	12.3301	1.24936	773.98	0.96698	3.28	0
131	13:50:09.29	25.9895	12.74259	25.97	31.03	1.0	0.620850	12.3222	1.24940	773.98	0.96701	3.28	0
132	13:50:09.59	25.8855	12.76527	25.97	31.16	1.0	0.621960	12.3437	1.24936	773.98	0.96697	3.28	0
133	13:50:09.89	25.5975	12.82820	25.97	31.16	1.0	0.625026	12.4057	1.24936	774.04	0.96707	3.28	0
134	13:50:10.19	25.3675	12.87846	25.97	31.24	1.0	0.627474	12.4541	1.24936	774.04	0.96705	3.28	0
135	13:50:10.49	25.4250	12.86593	25.97	31.24	1.0	0.626868	12.4421	1.24936	774.04	0.96706	3.28	0
136	13:50:10.79	25.5910	12.82939	25.97	31.39	1.1	0.625092	12.4064	1.24936	774.02	0.96703	3.28	0
137	13:50:11.09	25.7720	12.78991	25.97	31.39	1.1	0.623172	12.3675	1.24936	773.98	0.96697	3.28	0
138	13:50:11.39	25.9260	12.75603	25.97	31.48	1.1	0.621522	12.3350	1.24936	773.98	0.96699	3.28	0
139	13:50:11.69	25.7840	12.78711	25.97	31.48	1.1	0.623034	12.3653	1.24936	774.00	0.96701	3.28	0
140	13:50:11.99	25.4245	12.86565	25.97	31.55	1.1	0.626868	12.4424	1.24940	774.06	0.96710	3.28	0
141	13:50:12.29	25.1270	12.93075	25.97	31.55	1.1	0.630036	12.5053	1.24932	774.08	0.96710	3.28	0
142	13:50:12.59	24.9320	12.97338	25.97	31.64	1.1	0.632118	12.5468	1.24936	774.10	0.96712	3.28	0
143	13:50:12.89	24.6710	13.03036	25.98	31.64	1.1	0.634902	12.6025	1.24936	774.14	0.96717	3.28	0
144	13:50:13.19	24.5210	13.06319	25.98	31.64	1.1	0.636498	12.6349	1.24936	774.16	0.96721	3.28	0
