Title;
Time;Conc5_TC
27.05.2026 15:00:43;146952.6
27.05.2026 15:00:44;149142.8
27.05.2026 15:00:45;150205.94
27.05.2026 15:00:46;151647.5
27.05.2026 15:00:47;152357.73
27.05.2026 15:00:48;153318.33
27.05.2026 15:00:49;153891.22
27.05.2026 15:00:50;154681.78
27.05.2026 15:00:51;155126.84
27.05.2026 15:00:52;155585.36
27.05.2026 15:00:53;155865.56
27.05.2026 15:00:54;156255.8
27.05.2026 15:00:55;156471.72
27.05.2026 15:00:56;156717.31
27.05.2026 15:00:57;156850.81
27.05.2026 15:00:58;157043.78
27.05.2026 15:00:59;157164.75
27.05.2026 15:01:00;157336.25
27.05.2026 15:01:01;157429.83
27.05.2026 15:01:02;157535.42
27.05.2026 15:01:03;157595.95
27.05.2026 15:01:04;157681.44
27.05.2026 15:01:05;157745.38
27.05.2026 15:01:06;157820.84
27.05.2026 15:01:07;157863.66
27.05.2026 15:01:08;157924.81
27.05.2026 15:01:09;157961.05
27.05.2026 15:01:10;158004.78
27.05.2026 15:01:11;158029.39
27.05.2026 15:01:12;158066.36
27.05.2026 15:01:13;158088.38
27.05.2026 15:01:14;158116.67
27.05.2026 15:01:15;158132.8
27.05.2026 15:01:16;158157.84
27.05.2026 15:01:17;158171.53
27.05.2026 15:01:18;158191.98
27.05.2026 15:01:19;158206.89
27.05.2026 15:01:20;158229.03
27.05.2026 15:01:21;158239
27.05.2026 15:01:22;158254.67
27.05.2026 15:01:23;158263.66
27.05.2026 15:01:24;158278.9
27.05.2026 15:01:25;158287.08
27.05.2026 15:01:26;158300.38
27.05.2026 15:01:27;158309.5
27.05.2026 15:01:28;158321.22
27.05.2026 15:01:29;158326
27.05.2026 15:01:30;158337.89
27.05.2026 15:01:31;158344
27.05.2026 15:01:32;158353.78
27.05.2026 15:01:33;158359.67
27.05.2026 15:01:34;158367.77
27.05.2026 15:01:35;158375.86
27.05.2026 15:01:36;158384.92
27.05.2026 15:01:37;158390.1
27.05.2026 15:01:38;158395.83
27.05.2026 15:01:39;158401.22
27.05.2026 15:01:40;158409.06
27.05.2026 15:01:41;158414.47
27.05.2026 15:01:42;158420.05
27.05.2026 15:01:43;158426.02
27.05.2026 15:01:44;158432
27.05.2026 15:01:45;158432.98
27.05.2026 15:01:46;158436.7
27.05.2026 15:01:47;158439.69
27.05.2026 15:01:48;158446.5
27.05.2026 15:01:49;158066.9
27.05.2026 15:01:50;157980.11
27.05.2026 15:01:51;158149.25
27.05.2026 15:01:52;158294.08
27.05.2026 15:01:53;158345.62
27.05.2026 15:01:54;158389.73
27.05.2026 15:01:55;158407.1
27.05.2026 15:01:56;158423.27
27.05.2026 15:01:57;158433.36
27.05.2026 15:01:58;158445.94
27.05.2026 15:01:59;158451.23
27.05.2026 15:02:00;158458.34
27.05.2026 15:02:01;158464.86
27.05.2026 15:02:02;158468.47
27.05.2026 15:02:03;158472.75
27.05.2026 15:02:04;158478.34
27.05.2026 15:02:05;158480.75
27.05.2026 15:02:06;158483.84
27.05.2026 15:02:07;158487.47
27.05.2026 15:02:08;158492.28
27.05.2026 15:02:09;158495.64
27.05.2026 15:02:10;158497.23
27.05.2026 15:02:11;158497.83
27.05.2026 15:02:12;158502.27
27.05.2026 15:02:13;158503.84
27.05.2026 15:02:14;158508.69
27.05.2026 15:02:15;158513.28
27.05.2026 15:02:16;158518.95
27.05.2026 15:02:17;158522.53
27.05.2026 15:02:18;158523.44
27.05.2026 15:02:19;158525.56
27.05.2026 15:02:20;158531.6
27.05.2026 15:02:21;158533.12
27.05.2026 15:02:22;158538.38
27.05.2026 15:02:23;158540.92
27.05.2026 15:02:24;158545.73
27.05.2026 15:02:25;158550.25
27.05.2026 15:02:26;158551.92
27.05.2026 15:02:27;158553.81
27.05.2026 15:02:28;158495.27
27.05.2026 15:02:29;157666.12
27.05.2026 15:02:30;157774.4
27.05.2026 15:02:31;158056.25
27.05.2026 15:02:32;158266.23
27.05.2026 15:02:33;158345.2
27.05.2026 15:02:34;158411.36
27.05.2026 15:02:35;158437.47
27.05.2026 15:02:36;158467.3
27.05.2026 15:02:37;158480.75
27.05.2026 15:02:38;158493.52
27.05.2026 15:02:39;158501.73
27.05.2026 15:02:40;158512.88
27.05.2026 15:02:41;158520.08
27.05.2026 15:02:42;158526.1
27.05.2026 15:02:43;158529.06
27.05.2026 15:02:44;158535.83
27.05.2026 15:02:45;158537.77
27.05.2026 15:02:46;158540.58
27.05.2026 15:02:47;158542.14
27.05.2026 15:02:48;158543.98
27.05.2026 15:02:49;158544.61
27.05.2026 15:02:50;158549.6
