Title;
Time;Conc5_TC
29.05.2026 11:57:53;151781.81
29.05.2026 11:57:54;153051.12
29.05.2026 11:57:55;154707.38
29.05.2026 11:57:56;155517.77
29.05.2026 11:57:57;156717.55
29.05.2026 11:57:58;157323.77
29.05.2026 11:57:59;158191.22
29.05.2026 11:58:00;158559.66
29.05.2026 11:58:01;159054.89
29.05.2026 11:58:02;159368.7
29.05.2026 11:58:03;159717.14
29.05.2026 11:58:04;159885.02
29.05.2026 11:58:05;160153.64
29.05.2026 11:58:06;160296.67
29.05.2026 11:58:07;160474.95
29.05.2026 11:58:08;160592.14
29.05.2026 11:58:09;160729.47
29.05.2026 11:58:10;160805.42
29.05.2026 11:58:11;160905.05
29.05.2026 11:58:12;160962
29.05.2026 11:58:13;161033.17
29.05.2026 11:58:14;161078.52
29.05.2026 11:58:15;161133.16
29.05.2026 11:58:16;161163.19
29.05.2026 11:58:17;161207.83
29.05.2026 11:58:18;161232.38
29.05.2026 11:58:19;161264.22
29.05.2026 11:58:20;161284.86
29.05.2026 11:58:21;161312.19
29.05.2026 11:58:22;161328.47
29.05.2026 11:58:23;161350.23
29.05.2026 11:58:24;161364.6
29.05.2026 11:58:25;161383.53
29.05.2026 11:58:26;161394.66
29.05.2026 11:58:27;161409.25
29.05.2026 11:58:28;161420.19
29.05.2026 11:58:29;161433.1
29.05.2026 11:58:30;161441.64
29.05.2026 11:58:31;161454.69
29.05.2026 11:58:32;161463.31
29.05.2026 11:58:33;161473.72
29.05.2026 11:58:34;161481.89
29.05.2026 11:58:35;161495.2
29.05.2026 11:58:36;161501.75
29.05.2026 11:58:37;161510.22
29.05.2026 11:58:38;161516.38
29.05.2026 11:58:39;161526.4
29.05.2026 11:58:40;161532.8
29.05.2026 11:58:41;161538.52
29.05.2026 11:58:42;161542.58
29.05.2026 11:58:43;161553.27
29.05.2026 11:58:44;161559.73
29.05.2026 11:58:45;161566.86
29.05.2026 11:58:46;161568.31
29.05.2026 11:58:47;161573.48
29.05.2026 11:58:48;161576.6
29.05.2026 11:58:49;161582
29.05.2026 11:58:50;161588.38
29.05.2026 11:58:51;161593.56
29.05.2026 11:58:52;161595.42
29.05.2026 11:58:53;161575.77
29.05.2026 11:58:54;161580.34
29.05.2026 11:58:55;161604.17
29.05.2026 11:58:56;161613.92
29.05.2026 11:58:57;161622.17
29.05.2026 11:58:58;161626.3
29.05.2026 11:58:59;161636.03
29.05.2026 11:59:00;161641.2
29.05.2026 11:59:01;161644.3
29.05.2026 11:59:02;161647.17
29.05.2026 11:59:03;161654.98
29.05.2026 11:59:04;161656.14
29.05.2026 11:59:05;161661.5
29.05.2026 11:59:06;161661.2
29.05.2026 11:59:07;161663.17
29.05.2026 11:59:08;161666.12
29.05.2026 11:59:09;161672.33
29.05.2026 11:59:10;161677.22
29.05.2026 11:59:11;161681.14
29.05.2026 11:59:12;161683.25
29.05.2026 11:59:13;161686.31
29.05.2026 11:59:14;161688.16
29.05.2026 11:59:15;161693.17
29.05.2026 11:59:16;161695.23
29.05.2026 11:59:17;161701.25
29.05.2026 11:59:18;161703.52
29.05.2026 11:59:19;161705.22
29.05.2026 11:59:20;161706.9
29.05.2026 11:59:21;161709.67
29.05.2026 11:59:22;161711.42
29.05.2026 11:59:23;161699.38
29.05.2026 11:59:24;161668.47
29.05.2026 11:59:25;161674.06
29.05.2026 11:59:26;161687.89
29.05.2026 11:59:27;161700.02
29.05.2026 11:59:28;161703.12
29.05.2026 11:59:29;161711.88
29.05.2026 11:59:30;161713.12
29.05.2026 11:59:31;161715.25
29.05.2026 11:59:32;161718.2
29.05.2026 11:59:33;161720
29.05.2026 11:59:34;161722.39
29.05.2026 11:59:35;161722.03
29.05.2026 11:59:36;161724.4
29.05.2026 11:59:37;161728.81
29.05.2026 11:59:38;161730.1
29.05.2026 11:59:39;161729.94
29.05.2026 11:59:40;161732.6
29.05.2026 11:59:41;161733.03
29.05.2026 11:59:42;161735.25
29.05.2026 11:59:43;161738.56
29.05.2026 11:59:44;161738.66
29.05.2026 11:59:45;161740
29.05.2026 11:59:46;161742.84
29.05.2026 11:59:47;161744.36
29.05.2026 11:59:48;161745.31
29.05.2026 11:59:49;161746.53
29.05.2026 11:59:50;161748.11
29.05.2026 11:59:51;161749.2
29.05.2026 11:59:52;161749.34
29.05.2026 11:59:53;161750.27
