Title;
Time;Conc5_TC
28.05.2026 16:48:33;170367.67
28.05.2026 16:48:34;171688.97
28.05.2026 16:48:35;173134.1
28.05.2026 16:48:36;174494.83
28.05.2026 16:48:37;175141.52
28.05.2026 16:48:38;176000.61
28.05.2026 16:48:39;176457.64
28.05.2026 16:48:40;176780.12
28.05.2026 16:48:41;177332.47
28.05.2026 16:48:42;177709.06
28.05.2026 16:48:43;177905
28.05.2026 16:48:44;178092.56
28.05.2026 16:48:45;178328.38
28.05.2026 16:48:46;178486.9
28.05.2026 16:48:47;178669.02
28.05.2026 16:48:48;178769.73
28.05.2026 16:48:49;178910.14
28.05.2026 16:48:50;178985.92
28.05.2026 16:48:51;179086.28
28.05.2026 16:48:52;179171.19
28.05.2026 16:48:53;179220.23
28.05.2026 16:48:54;179285.16
28.05.2026 16:48:55;179322.58
28.05.2026 16:48:56;179370.28
28.05.2026 16:48:57;179398.83
28.05.2026 16:48:58;179425.5
28.05.2026 16:48:59;179462.03
28.05.2026 16:49:00;179490.8
28.05.2026 16:49:01;179508.14
28.05.2026 16:49:02;179526.38
28.05.2026 16:49:03;179552.38
28.05.2026 16:49:04;179566.16
28.05.2026 16:49:05;179584.86
28.05.2026 16:49:06;179603.94
28.05.2026 16:49:07;179616.27
28.05.2026 16:49:08;179627.02
28.05.2026 16:49:09;179641.75
28.05.2026 16:49:10;179651.88
28.05.2026 16:49:11;179667.81
28.05.2026 16:49:12;179677.52
28.05.2026 16:49:13;179690.2
28.05.2026 16:49:14;179699.53
28.05.2026 16:49:15;179709.78
28.05.2026 16:49:16;179714.8
28.05.2026 16:49:17;179726.23
28.05.2026 16:49:18;179731.55
28.05.2026 16:49:19;179743.14
28.05.2026 16:49:20;179751.45
28.05.2026 16:49:21;179759.1
28.05.2026 16:49:22;179771.88
28.05.2026 16:49:23;179777.39
28.05.2026 16:49:24;179781.33
28.05.2026 16:49:25;179787.05
28.05.2026 16:49:26;179791.38
28.05.2026 16:49:27;179803.16
28.05.2026 16:49:28;179810.22
28.05.2026 16:49:29;179814.11
28.05.2026 16:49:30;179820.8
28.05.2026 16:49:31;179822.7
28.05.2026 16:49:32;179826.31
28.05.2026 16:49:33;179833.8
28.05.2026 16:49:34;179840.38
28.05.2026 16:49:35;179849.45
28.05.2026 16:49:36;179852.73
28.05.2026 16:49:37;179859.97
28.05.2026 16:49:38;179870.08
28.05.2026 16:49:39;179873.84
28.05.2026 16:49:40;179876.52
28.05.2026 16:49:41;179881.47
28.05.2026 16:49:42;179886.44
28.05.2026 16:49:43;179890.67
28.05.2026 16:49:44;179777.53
28.05.2026 16:49:45;179553.36
28.05.2026 16:49:46;179621.03
28.05.2026 16:49:47;179750.08
28.05.2026 16:49:48;179792.14
28.05.2026 16:49:49;179829.34
28.05.2026 16:49:50;179844.6
28.05.2026 16:49:51;179861.25
28.05.2026 16:49:52;179873.84
28.05.2026 16:49:53;179875.56
28.05.2026 16:49:54;179882.78
28.05.2026 16:49:55;179886.83
28.05.2026 16:49:56;179891.92
28.05.2026 16:49:57;179901.33
28.05.2026 16:49:58;179907.84
28.05.2026 16:49:59;179914.55
28.05.2026 16:50:00;179920.33
28.05.2026 16:50:01;179924.25
28.05.2026 16:50:02;179927.94
28.05.2026 16:50:03;179934.47
28.05.2026 16:50:04;179938.7
28.05.2026 16:50:05;179943.98
28.05.2026 16:50:06;179943.31
28.05.2026 16:50:07;179946.14
28.05.2026 16:50:08;179952.97
28.05.2026 16:50:09;179954.62
28.05.2026 16:50:10;179956.89
28.05.2026 16:50:11;179959.94
28.05.2026 16:50:12;179962.5
28.05.2026 16:50:13;179966.55
28.05.2026 16:50:14;179970.98
28.05.2026 16:50:15;179970.7
28.05.2026 16:50:16;179975.83
28.05.2026 16:50:17;179923.48
28.05.2026 16:50:18;179352.16
28.05.2026 16:50:19;179504.58
28.05.2026 16:50:20;179661.98
28.05.2026 16:50:21;179786.6
28.05.2026 16:50:22;179832.69
28.05.2026 16:50:23;179873.17
28.05.2026 16:50:24;179891.86
28.05.2026 16:50:25;179911
28.05.2026 16:50:26;179919.25
28.05.2026 16:50:27;179929.94
28.05.2026 16:50:28;179938.3
28.05.2026 16:50:29;179940.2
28.05.2026 16:50:30;179947.34
28.05.2026 16:50:31;179954.08
28.05.2026 16:50:32;179959.42
28.05.2026 16:50:33;179966.58
28.05.2026 16:50:34;179970.28
28.05.2026 16:50:35;179971.42
28.05.2026 16:50:36;179974.52
28.05.2026 16:50:37;179975.47
28.05.2026 16:50:38;179976.5
28.05.2026 16:50:39;179982.11
28.05.2026 16:50:40;179983.9
28.05.2026 16:50:41;179985.4
28.05.2026 16:50:42;179984.7
28.05.2026 16:50:43;179985.84
28.05.2026 16:50:44;179987.42
28.05.2026 16:50:45;179989.83
28.05.2026 16:50:46;179990.75
28.05.2026 16:50:47;179994.27
28.05.2026 16:50:48;179996.95
28.05.2026 16:50:49;179997.6
28.05.2026 16:50:50;179997.34
28.05.2026 16:50:51;179997.98
28.05.2026 16:50:52;180002.23
28.05.2026 16:50:53;180002.45
28.05.2026 16:50:54;180004.45
28.05.2026 16:50:55;180006.23
28.05.2026 16:50:56;180007.98
