Title;
Time;Conc5_TC
26.05.2026 11:58:17;103236.46
26.05.2026 11:58:18;106573.57
26.05.2026 11:58:19;107725.46
26.05.2026 11:58:20;109114.445
26.05.2026 11:58:21;110360.4
26.05.2026 11:58:22;111890.03
26.05.2026 11:58:23;113094.016
26.05.2026 11:58:24;114605.984
26.05.2026 11:58:25;115540.64
26.05.2026 11:58:26;115968.18
26.05.2026 11:58:27;116615.56
26.05.2026 11:58:28;117422.14
26.05.2026 11:58:29;117914.35
26.05.2026 11:58:30;118216.32
26.05.2026 11:58:31;118516.92
26.05.2026 11:58:32;119016.164
26.05.2026 11:58:33;119412.984
26.05.2026 11:58:34;119705.734
26.05.2026 11:58:35;119887.5
26.05.2026 11:58:36;119979.19
26.05.2026 11:58:37;120043.53
26.05.2026 11:58:38;120422.3
26.05.2026 11:58:39;120490.01
26.05.2026 11:58:40;120634.734
26.05.2026 11:58:41;120723.91
26.05.2026 11:58:42;120829.55
26.05.2026 11:58:43;120854.805
26.05.2026 11:58:44;120988.73
26.05.2026 11:58:45;121136.68
26.05.2026 11:58:46;121291.805
26.05.2026 11:58:47;121394.44
26.05.2026 11:58:48;121511.77
26.05.2026 11:58:49;121584.305
26.05.2026 11:58:50;121680.18
26.05.2026 11:58:51;121729.516
26.05.2026 11:58:52;121832.055
26.05.2026 11:58:53;121845.03
26.05.2026 11:58:54;121878.49
26.05.2026 11:58:55;121915.34
26.05.2026 11:58:56;121976.984
26.05.2026 11:58:57;122018.1
26.05.2026 11:58:58;122090.195
26.05.2026 11:58:59;122120.64
26.05.2026 11:59:00;122158.95
26.05.2026 11:59:01;122182.27
26.05.2026 11:59:02;122241.8
26.05.2026 11:59:03;122258.79
26.05.2026 11:59:04;122287.97
26.05.2026 11:59:05;122325.766
26.05.2026 11:59:06;122378.05
26.05.2026 11:59:07;122411.51
26.05.2026 11:59:08;122424.62
26.05.2026 11:59:09;122443.49
26.05.2026 11:59:10;122477.914
26.05.2026 11:59:11;122493.07
26.05.2026 11:59:12;122518.64
26.05.2026 11:59:13;122534.52
26.05.2026 11:59:14;122546.38
26.05.2026 11:59:15;122559.914
26.05.2026 11:59:16;122597.1
26.05.2026 11:59:17;122611.25
26.05.2026 11:59:18;122627.5
26.05.2026 11:59:19;122635.195
26.05.2026 11:59:20;122655.27
26.05.2026 11:59:21;122661.01
26.05.2026 11:59:22;122676.95
26.05.2026 11:59:23;122685.6
26.05.2026 11:59:24;122709.56
26.05.2026 11:59:25;122724.56
26.05.2026 11:59:26;122730.43
26.05.2026 11:59:27;122734.37
26.05.2026 11:59:28;122753.734
26.05.2026 11:59:29;122758.32
26.05.2026 11:59:30;122769.41
26.05.2026 11:59:31;122773.48
26.05.2026 11:59:32;122782.375
26.05.2026 11:59:33;122778.59
26.05.2026 11:59:34;122790.67
26.05.2026 11:59:35;122797.78
26.05.2026 11:59:36;122810.45
26.05.2026 11:59:37;122813.766
26.05.2026 11:59:38;122824.72
26.05.2026 11:59:39;122832.484
26.05.2026 11:59:40;122838.805
26.05.2026 11:59:41;122846.73
26.05.2026 11:59:42;122851.65
