Title;
Time;Conc5_TC
26.05.2026 11:59:55;122506.12
26.05.2026 11:59:56;122597
26.05.2026 11:59:57;122794.2
26.05.2026 11:59:58;122859.46
26.05.2026 11:59:59;121494.59
26.05.2026 12:00:00;119191.64
26.05.2026 12:00:01;120971.69
26.05.2026 12:00:02;121821.04
26.05.2026 12:00:03;122373.984
26.05.2026 12:00:04;122551.37
26.05.2026 12:00:05;122699.07
26.05.2026 12:00:06;122765.195
26.05.2026 12:00:07;122824.516
26.05.2026 12:00:08;122848.234
26.05.2026 12:00:09;122874.13
26.05.2026 12:00:10;122888.586
26.05.2026 12:00:11;122902.57
26.05.2026 12:00:12;122918.95
26.05.2026 12:00:13;122926.086
26.05.2026 12:00:14;122931.56
26.05.2026 12:00:15;122939.32
26.05.2026 12:00:16;122942.62
26.05.2026 12:00:17;122945.15
26.05.2026 12:00:18;122948.22
26.05.2026 12:00:19;122953.46
26.05.2026 12:00:20;122957.03
26.05.2026 12:00:21;122962.164
26.05.2026 12:00:22;122966.44
26.05.2026 12:00:23;122973.73
26.05.2026 12:00:24;122976.07
26.05.2026 12:00:25;122979.01
26.05.2026 12:00:26;122983.53
26.05.2026 12:00:27;122989.48
26.05.2026 12:00:28;122992.76
26.05.2026 12:00:29;122991.45
