Title;
Time;Conc5_TC
28.05.2026 18:49:39;187705.95
28.05.2026 18:49:40;189557.38
28.05.2026 18:49:41;190949.05
28.05.2026 18:49:42;192555.9
28.05.2026 18:49:43;193830.3
28.05.2026 18:49:44;194609.06
28.05.2026 18:49:45;195427.69
28.05.2026 18:49:46;195969.34
28.05.2026 18:49:47;196357.52
28.05.2026 18:49:48;196892.14
28.05.2026 18:49:49;197347.88
28.05.2026 18:49:50;197586.44
28.05.2026 18:49:51;197820.48
28.05.2026 18:49:52;198088.39
28.05.2026 18:49:53;198227.52
28.05.2026 18:49:54;198446.27
28.05.2026 18:49:55;198610.1
28.05.2026 18:49:56;198719.94
28.05.2026 18:49:57;198806.94
28.05.2026 18:49:58;198926.92
28.05.2026 18:49:59;199031.55
28.05.2026 18:50:00;199102.06
28.05.2026 18:50:01;199177.47
28.05.2026 18:50:02;199226.83
28.05.2026 18:50:03;199292.62
28.05.2026 18:50:04;199330.14
28.05.2026 18:50:05;199379.77
28.05.2026 18:50:06;199405.14
28.05.2026 18:50:07;199431.77
28.05.2026 18:50:08;199468.58
28.05.2026 18:50:09;199496.98
28.05.2026 18:50:10;199517.88
28.05.2026 18:50:11;199545.78
28.05.2026 18:50:12;199557.72
28.05.2026 18:50:13;199580.72
28.05.2026 18:50:14;199595.06
28.05.2026 18:50:15;199610.62
28.05.2026 18:50:16;199627.52
28.05.2026 18:50:17;199643.94
28.05.2026 18:50:18;199655.17
28.05.2026 18:50:19;199671.25
28.05.2026 18:50:20;199680.1
28.05.2026 18:50:21;199689.28
28.05.2026 18:50:22;199702
28.05.2026 18:50:23;199715.39
28.05.2026 18:50:24;199725.19
28.05.2026 18:50:25;199741.3
28.05.2026 18:50:26;199746.47
28.05.2026 18:50:27;199755.64
28.05.2026 18:50:28;199760.28
28.05.2026 18:50:29;199765.62
28.05.2026 18:50:30;199777.98
28.05.2026 18:50:31;199788.89
28.05.2026 18:50:32;199796.47
28.05.2026 18:50:33;199806.31
28.05.2026 18:50:34;199810.23
28.05.2026 18:50:35;199816.8
28.05.2026 18:50:36;199821.7
28.05.2026 18:50:37;199831.14
28.05.2026 18:50:38;199833.78
28.05.2026 18:50:39;199837.69
28.05.2026 18:50:40;199840.98
28.05.2026 18:50:41;199849.03
28.05.2026 18:50:42;199856.2
28.05.2026 18:50:43;199859.05
28.05.2026 18:50:44;199864.83
28.05.2026 18:50:45;199869.45
28.05.2026 18:50:46;199873.84
28.05.2026 18:50:47;199880.48
28.05.2026 18:50:48;199884.36
28.05.2026 18:50:49;199887.66
28.05.2026 18:50:50;199891.1
28.05.2026 18:50:51;199679.55
28.05.2026 18:50:52;199691.39
28.05.2026 18:50:53;199754.89
28.05.2026 18:50:54;199815.3
28.05.2026 18:50:55;199832.78
28.05.2026 18:50:56;199851.42
28.05.2026 18:50:57;199865.33
28.05.2026 18:50:58;199873.31
28.05.2026 18:50:59;199883.73
28.05.2026 18:51:00;199886.95
28.05.2026 18:51:01;199890.7
28.05.2026 18:51:02;199898.19
28.05.2026 18:51:03;199906.88
28.05.2026 18:51:04;199906.7
28.05.2026 18:51:05;199910.64
28.05.2026 18:51:06;199921.39
28.05.2026 18:51:07;199927.64
28.05.2026 18:51:08;199931.75
28.05.2026 18:51:09;199937.27
28.05.2026 18:51:10;199938.16
28.05.2026 18:51:11;199940.22
28.05.2026 18:51:12;199943.92
28.05.2026 18:51:13;199948.92
28.05.2026 18:51:14;199954.1
28.05.2026 18:51:15;199954.8
28.05.2026 18:51:16;199954.97
28.05.2026 18:51:17;199956.2
28.05.2026 18:51:18;199960.75
28.05.2026 18:51:19;199963.6
28.05.2026 18:51:20;199965.89
28.05.2026 18:51:21;199969.47
28.05.2026 18:51:22;199973.33
28.05.2026 18:51:23;199975.5
28.05.2026 18:51:24;199978.45
28.05.2026 18:51:25;199980.4
28.05.2026 18:51:26;199985
28.05.2026 18:51:27;199578.72
28.05.2026 18:51:28;199566.55
28.05.2026 18:51:29;199720.67
28.05.2026 18:51:30;199856.4
28.05.2026 18:51:31;199922.94
28.05.2026 18:51:32;199943.98
28.05.2026 18:51:33;199969.95
28.05.2026 18:51:34;199980.84
28.05.2026 18:51:35;199984.44
28.05.2026 18:51:36;199990.25
28.05.2026 18:51:37;199996.12
28.05.2026 18:51:38;200000.05
28.05.2026 18:51:39;200003.94
28.05.2026 18:51:40;200006.53
28.05.2026 18:51:41;200008.58
28.05.2026 18:51:42;200012.3
28.05.2026 18:51:43;200018.08
28.05.2026 18:51:44;200019.06
28.05.2026 18:51:45;200022.47
28.05.2026 18:51:46;200023.75
28.05.2026 18:51:47;200027.67
28.05.2026 18:51:48;200033.86
28.05.2026 18:51:49;200037.23
28.05.2026 18:51:50;200039.16
28.05.2026 18:51:51;200041.8
