Title;
Time;Conc5_TC
27.05.2026 15:39:59;159142.58
27.05.2026 15:40:00;161690.81
27.05.2026 15:40:01;164317.6
27.05.2026 15:40:02;166698.66
27.05.2026 15:40:03;168122.05
27.05.2026 15:40:04;169813.97
27.05.2026 15:40:05;170645.66
27.05.2026 15:40:06;171440.52
27.05.2026 15:40:07;172412.22
27.05.2026 15:40:08;172927.78
27.05.2026 15:40:09;173537.25
27.05.2026 15:40:10;174042.02
27.05.2026 15:40:11;174359.88
27.05.2026 15:40:12;174660.89
27.05.2026 15:40:13;174995.5
27.05.2026 15:40:14;175203.73
27.05.2026 15:40:15;175438.05
27.05.2026 15:40:16;175634.84
27.05.2026 15:40:17;175757.75
27.05.2026 15:40:18;175923.12
27.05.2026 15:40:19;176029.02
27.05.2026 15:40:20;176103.4
27.05.2026 15:40:21;176215.69
27.05.2026 15:40:22;176279.06
27.05.2026 15:40:23;176359.5
27.05.2026 15:40:24;176401.39
27.05.2026 15:40:25;176459.62
27.05.2026 15:40:26;176499.34
27.05.2026 15:40:27;176546.86
27.05.2026 15:40:28;176591.66
27.05.2026 15:40:29;176613.94
27.05.2026 15:40:30;176639.28
27.05.2026 15:40:31;176675.17
27.05.2026 15:40:32;176694.28
27.05.2026 15:40:33;176720.4
27.05.2026 15:40:34;176735.48
27.05.2026 15:40:35;176760
27.05.2026 15:40:36;176779.72
27.05.2026 15:40:37;176793.67
27.05.2026 15:40:38;176808.03
27.05.2026 15:40:39;176820.27
27.05.2026 15:40:40;176830.19
27.05.2026 15:40:41;176847.33
27.05.2026 15:40:42;176862.22
27.05.2026 15:40:43;176874.08
27.05.2026 15:40:44;176885.83
27.05.2026 15:40:45;176897.55
27.05.2026 15:40:46;176905.73
27.05.2026 15:40:47;176914.23
27.05.2026 15:40:48;176925.14
27.05.2026 15:40:49;176928.06
27.05.2026 15:40:50;176933.94
27.05.2026 15:40:51;176941.78
27.05.2026 15:40:52;176952.98
27.05.2026 15:40:53;176292.25
27.05.2026 15:40:54;175765.52
27.05.2026 15:40:55;176401.23
27.05.2026 15:40:56;176660.03
27.05.2026 15:40:57;176755.17
27.05.2026 15:40:58;176843.25
27.05.2026 15:40:59;176880.27
27.05.2026 15:41:00;176907.45
27.05.2026 15:41:01;176937.03
27.05.2026 15:41:02;176949.48
27.05.2026 15:41:03;176964.47
27.05.2026 15:41:04;176976.83
27.05.2026 15:41:05;176982.27
27.05.2026 15:41:06;176989.84
27.05.2026 15:41:07;176994.5
27.05.2026 15:41:08;176997.31
27.05.2026 15:41:09;177002.97
27.05.2026 15:41:10;177009.77
27.05.2026 15:41:11;177013.14
27.05.2026 15:41:12;177016.39
27.05.2026 15:41:13;177017.69
27.05.2026 15:41:14;177021.1
27.05.2026 15:41:15;177027.66
27.05.2026 15:41:16;177031.98
27.05.2026 15:41:17;177035.22
27.05.2026 15:41:18;177038
27.05.2026 15:41:19;177042.61
27.05.2026 15:41:20;177048.03
27.05.2026 15:41:21;177052.23
27.05.2026 15:41:22;177059
27.05.2026 15:41:23;177060.95
27.05.2026 15:41:24;177064.6
27.05.2026 15:41:25;177067.22
27.05.2026 15:41:26;177070.1
27.05.2026 15:41:27;177074.94
27.05.2026 15:41:28;177079.62
27.05.2026 15:41:29;177080.39
27.05.2026 15:41:30;177083.19
27.05.2026 15:41:31;177090.61
27.05.2026 15:41:32;177093.78
27.05.2026 15:41:33;177097.7
27.05.2026 15:41:34;177097.94
27.05.2026 15:41:35;177104.17
27.05.2026 15:41:36;177109.17
27.05.2026 15:41:37;177113.06
27.05.2026 15:41:38;176670.02
27.05.2026 15:41:39;174917.8
27.05.2026 15:41:40;176082.53
27.05.2026 15:41:41;176453.08
27.05.2026 15:41:42;176649.83
27.05.2026 15:41:43;176816.89
27.05.2026 15:41:44;176887.23
27.05.2026 15:41:45;176958.45
27.05.2026 15:41:46;176991.31
27.05.2026 15:41:47;177027.47
27.05.2026 15:41:48;177046.22
27.05.2026 15:41:49;177063.83
27.05.2026 15:41:50;177074.45
27.05.2026 15:41:51;177087.8
27.05.2026 15:41:52;177091.45
27.05.2026 15:41:53;177095.67
27.05.2026 15:41:54;177099.86
27.05.2026 15:41:55;177101.19
27.05.2026 15:41:56;177106.48
27.05.2026 15:41:57;177111.45
27.05.2026 15:41:58;177114.22
27.05.2026 15:41:59;177118.83
27.05.2026 15:42:00;177120.84
27.05.2026 15:42:01;177124
27.05.2026 15:42:02;177128.16
27.05.2026 15:42:03;177130.03
27.05.2026 15:42:04;177133.03
27.05.2026 15:42:05;177138.3
27.05.2026 15:42:06;177140.4
27.05.2026 15:42:07;177149.64
