Title;
Time;Conc5_TC
28.05.2026 18:14:35;183046.89
28.05.2026 18:14:36;185420.33
28.05.2026 18:14:37;188635.8
28.05.2026 18:14:38;190285.7
28.05.2026 18:14:39;192450.84
28.05.2026 18:14:40;193455.62
28.05.2026 18:14:41;194744.78
28.05.2026 18:14:42;195532.95
28.05.2026 18:14:43;196096.61
28.05.2026 18:14:44;196862.98
28.05.2026 18:14:45;197483.47
28.05.2026 18:14:46;197868.77
28.05.2026 18:14:47;198299.1
28.05.2026 18:14:48;198543.28
28.05.2026 18:14:49;198833.92
28.05.2026 18:14:50;199000.48
28.05.2026 18:14:51;199248.06
28.05.2026 18:14:52;199383.73
28.05.2026 18:14:53;199556.16
28.05.2026 18:14:54;199656.06
28.05.2026 18:14:55;199788.47
28.05.2026 18:14:56;199868
28.05.2026 18:14:57;199979.47
28.05.2026 18:14:58;200044.27
28.05.2026 18:14:59;200126.4
28.05.2026 18:15:00;200173.64
28.05.2026 18:15:01;200234.25
28.05.2026 18:15:02;200267.53
28.05.2026 18:15:03;200321.52
28.05.2026 18:15:04;200347.05
28.05.2026 18:15:05;200382.3
28.05.2026 18:15:06;200406.39
28.05.2026 18:15:07;200440.28
28.05.2026 18:15:08;200459.64
28.05.2026 18:15:09;200479.42
28.05.2026 18:15:10;200493.17
28.05.2026 18:15:11;200514.78
28.05.2026 18:15:12;200528.02
28.05.2026 18:15:13;200550.62
28.05.2026 18:15:14;200563.67
28.05.2026 18:15:15;200584.48
28.05.2026 18:15:16;200596.48
28.05.2026 18:15:17;200609.86
28.05.2026 18:15:18;200618.08
28.05.2026 18:15:19;200633.3
28.05.2026 18:15:20;200643.3
28.05.2026 18:15:21;200659.5
28.05.2026 18:15:22;200666.98
28.05.2026 18:15:23;200677.75
28.05.2026 18:15:24;200685.6
28.05.2026 18:15:25;200692.16
28.05.2026 18:15:26;200697.69
28.05.2026 18:15:27;200704.69
28.05.2026 18:15:28;200713.2
28.05.2026 18:15:29;200720.08
28.05.2026 18:15:30;200727.48
28.05.2026 18:15:31;200736.73
28.05.2026 18:15:32;200740.86
28.05.2026 18:15:33;200750.72
28.05.2026 18:15:34;200757.14
28.05.2026 18:15:35;200763.58
28.05.2026 18:15:36;200769.16
28.05.2026 18:15:37;200772.27
28.05.2026 18:15:38;200776.16
28.05.2026 18:15:39;200786.75
28.05.2026 18:15:40;200792.48
28.05.2026 18:15:41;200800.8
28.05.2026 18:15:42;200803.34
28.05.2026 18:15:43;200810.17
28.05.2026 18:15:44;200818.55
28.05.2026 18:15:45;200825.66
28.05.2026 18:15:46;200829
28.05.2026 18:15:47;200833.45
28.05.2026 18:15:48;200834.16
28.05.2026 18:15:49;200837.03
28.05.2026 18:15:50;200839.45
28.05.2026 18:15:51;200844.5
28.05.2026 18:15:52;200845.84
28.05.2026 18:15:53;200853.3
28.05.2026 18:15:54;200859.83
28.05.2026 18:15:55;200862.33
28.05.2026 18:15:56;200867.33
28.05.2026 18:15:57;200870.55
28.05.2026 18:15:58;200874.17
28.05.2026 18:15:59;200876.56
28.05.2026 18:16:00;200878.9
28.05.2026 18:16:01;200882.89
28.05.2026 18:16:02;200885.94
28.05.2026 18:16:03;200615.42
28.05.2026 18:16:04;200493.94
28.05.2026 18:16:05;200679.4
28.05.2026 18:16:06;200756.12
28.05.2026 18:16:07;200816.52
28.05.2026 18:16:08;200842.4
28.05.2026 18:16:09;200864.06
28.05.2026 18:16:10;200873.9
28.05.2026 18:16:11;200884.33
28.05.2026 18:16:12;200889.86
28.05.2026 18:16:13;200898.36
28.05.2026 18:16:14;200904.64
28.05.2026 18:16:15;200908.92
28.05.2026 18:16:16;200912.16
28.05.2026 18:16:17;200919.05
28.05.2026 18:16:18;200923.08
28.05.2026 18:16:19;200929.05
28.05.2026 18:16:20;200931.92
28.05.2026 18:16:21;200935.83
28.05.2026 18:16:22;200939.06
28.05.2026 18:16:23;200940.47
28.05.2026 18:16:24;200941.77
28.05.2026 18:16:25;200944.14
28.05.2026 18:16:26;200948.83
28.05.2026 18:16:27;200954.94
28.05.2026 18:16:28;200959.75
28.05.2026 18:16:29;200959.73
28.05.2026 18:16:30;200962.11
28.05.2026 18:16:31;200965.17
28.05.2026 18:16:32;200968.08
28.05.2026 18:16:33;200968.16
28.05.2026 18:16:34;200967.81
28.05.2026 18:16:35;200971.27
28.05.2026 18:16:36;200974.08
28.05.2026 18:16:37;200977.45
28.05.2026 18:16:38;200979.38
28.05.2026 18:16:39;200985.89
28.05.2026 18:16:40;200987.06
28.05.2026 18:16:41;200247.52
28.05.2026 18:16:42;200321.31
28.05.2026 18:16:43;200658.08
28.05.2026 18:16:44;200766.42
28.05.2026 18:16:45;200857.25
28.05.2026 18:16:46;200890.67
28.05.2026 18:16:47;200926.66
28.05.2026 18:16:48;200941.2
28.05.2026 18:16:49;200958.03
28.05.2026 18:16:50;200965.64
28.05.2026 18:16:51;200977.4
28.05.2026 18:16:52;200979.4
28.05.2026 18:16:53;200984.55
28.05.2026 18:16:54;200985.86
28.05.2026 18:16:55;200990.6
28.05.2026 18:16:56;200994.42
28.05.2026 18:16:57;200998.83
28.05.2026 18:16:58;200999.84
28.05.2026 18:16:59;201007.89
28.05.2026 18:17:00;201012.02
28.05.2026 18:17:01;201017.3
28.05.2026 18:17:02;201020
28.05.2026 18:17:03;201023.36
28.05.2026 18:17:04;201025.72
28.05.2026 18:17:05;201028.08
28.05.2026 18:17:06;201029.28
28.05.2026 18:17:07;201032.14
