Title;
Time;Conc5_TC
29.05.2026 13:53:15;183919.1
29.05.2026 13:53:16;189884.1
29.05.2026 13:53:17;193227.58
29.05.2026 13:53:18;197131.05
29.05.2026 13:53:19;199162.17
29.05.2026 13:53:20;201524.56
29.05.2026 13:53:20;202778.25
29.05.2026 13:53:22;204662.2
29.05.2026 13:53:23;205633.11
29.05.2026 13:53:23;206420.84
29.05.2026 13:53:25;207359.95
29.05.2026 13:53:25;207760.47
29.05.2026 13:53:27;208439.94
29.05.2026 13:53:27;208762.7
29.05.2026 13:53:28;209280.78
29.05.2026 13:53:30;209648.1
29.05.2026 13:53:31;209849.52
29.05.2026 13:53:31;210022.27
29.05.2026 13:53:33;210291.12
29.05.2026 13:53:34;210504.08
29.05.2026 13:53:35;210611.92
29.05.2026 13:53:36;210767.1
29.05.2026 13:53:36;210854.17
29.05.2026 13:53:38;210953.69
29.05.2026 13:53:38;211017.23
29.05.2026 13:53:39;211070.52
29.05.2026 13:53:40;211146.45
29.05.2026 13:53:42;211206.39
29.05.2026 13:53:43;211247.38
29.05.2026 13:53:43;211286.69
29.05.2026 13:53:44;211338.5
29.05.2026 13:53:45;211367.84
29.05.2026 13:53:46;211410.38
29.05.2026 13:53:47;211435.66
29.05.2026 13:53:49;211469.25
29.05.2026 13:53:49;211490.69
29.05.2026 13:53:51;211509.36
29.05.2026 13:53:52;211539.03
29.05.2026 13:53:53;211555.2
29.05.2026 13:53:53;211568.02
29.05.2026 13:53:55;211585.5
29.05.2026 13:53:56;211607.62
29.05.2026 13:53:57;211622.48
29.05.2026 13:53:57;211638.3
29.05.2026 13:53:59;211662.88
29.05.2026 13:53:59;211678.69
29.05.2026 13:54:01;211699.2
29.05.2026 13:54:01;211709.05
29.05.2026 13:54:03;211726.84
29.05.2026 13:54:04;211741.34
29.05.2026 13:54:05;211750.02
29.05.2026 13:54:06;211765.6
29.05.2026 13:54:06;211771.56
29.05.2026 13:54:08;211787.47
29.05.2026 13:54:08;211792.83
29.05.2026 13:54:09;211796.89
29.05.2026 13:54:11;211812.95
29.05.2026 13:54:11;211819.33
29.05.2026 13:54:13;211828.3
29.05.2026 13:54:14;211835.7
29.05.2026 13:54:14;211841.22
29.05.2026 13:54:16;211851.08
29.05.2026 13:54:17;211856.23
29.05.2026 13:54:18;211865.38
29.05.2026 13:54:18;211871.66
29.05.2026 13:54:20;211881
29.05.2026 13:54:20;211885.08
29.05.2026 13:54:21;211886.84
29.05.2026 13:54:22;211897.5
29.05.2026 13:54:24;211904.89
29.05.2026 13:54:25;211906.61
29.05.2026 13:54:25;211913.38
29.05.2026 13:54:26;211921.5
29.05.2026 13:54:27;211923.22
29.05.2026 13:54:29;211930.16
29.05.2026 13:54:29;211933.16
